"filename", "language", "TypeScript React", "TypeScript", "JSON", "XML", "SCSS", "CSS", "comment", "blank", "total"
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-20.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 1, 10
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-21.svg", "XML", 0, 0, 0, 33, 0, 0, 0, 1, 34
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-22.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-23.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 1, 9
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-24.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-25.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 1, 7
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-3.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-4.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-5.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-6.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-7.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-8.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/_Group_-9.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 1, 7
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/facebook.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/telegram.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 1, 13
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/twitter.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/vimeo.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/website.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/faraj_shuaib/projects/sahaba/front/src/assets/images/socials/youtube.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
